L,margin_rho_over_chi,discount_tau_over_rho,beta_concentration,key,seed,waste_base,waste_tgtg,delta_waste,profit_base,profit_tgtg,delta_profit,prod_base,prod_tgtg,delta_prod,b_star,waste_base_per_day,waste_tgtg_per_day,delta_waste_per_day,prod_base_per_day,prod_tgtg_per_day,delta_prod_per_day
3,2.0,0.15,20.0,L=3|m=2.0|d=0.15|c=20.0,2455,267.7,412.3,144.60000000000002,146.15333333333334,150.51333333333335,4.360000000000014,4920.0,5340.0,420.0,0.0,8.923333333333334,13.743333333333334,4.820000000000001,164.0,178.0,14.0
3,2.0,0.15,50.0,L=3|m=2.0|d=0.15|c=50.0,2468,192.1,184.6,-7.5,169.19333333333333,168.69333333333333,-0.5,5460.0,5430.0,-30.0,0.0,6.403333333333333,6.153333333333333,-0.25,182.0,181.0,-1.0
3,2.0,0.15,100.0,L=3|m=2.0|d=0.15|c=100.0,2481,139.35,110.55,-28.8,175.70999999999998,174.62999999999997,-1.0800000000000125,5550.0,5460.0,-90.0,0.0,4.645,3.685,-0.96,185.0,182.0,-3.0
3,2.0,0.25,3.0,L=3|m=2.0|d=0.25|c=3.0,2494,307.2,355.7,48.5,67.52000000000001,68.28666666666668,0.7666666666666657,2640.0,2760.0,120.0,0.0,10.24,11.856666666666666,1.6166666666666667,88.0,92.0,4.0
3,2.0,0.25,5.0,L=3|m=2.0|d=0.25|c=5.0,2507,602.5,616.4,13.899999999999975,108.83333333333331,108.90666666666668,0.0733333333333519,4470.0,4500.0,30.0,0.0,20.08333333333333,20.546666666666667,0.4633333333333326,149.0,150.0,1.0
3,2.0,0.25,10.0,L=3|m=2.0|d=0.25|c=10.0,2520,437.3,396.05,-41.25,136.84666666666664,133.59666666666664,-3.25,4980.0,4800.0,-180.0,0.0,14.576666666666666,13.201666666666666,-1.375,166.0,160.0,-6.0
3,2.0,0.25,20.0,L=3|m=2.0|d=0.25|c=20.0,2533,286.65,253.5,-33.14999999999998,153.89000000000004,152.1,-1.7900000000000489,5190.0,5070.0,-120.0,0.0,9.555,8.45,-1.104999999999999,173.0,169.0,-4.0
3,2.0,0.25,50.0,L=3|m=2.0|d=0.25|c=50.0,2546,173.35,206.55,33.20000000000002,168.44333333333333,169.23000000000002,0.7866666666666902,5400.0,5490.0,90.0,0.0,5.778333333333333,6.885000000000001,1.1066666666666671,180.0,183.0,3.0
3,2.0,0.25,100.0,L=3|m=2.0|d=0.25|c=100.0,2559,146.95,102.8,-44.14999999999999,177.20333333333332,175.1466666666667,-2.056666666666615,5610.0,5460.0,-150.0,0.0,4.8983333333333325,3.4266666666666667,-1.4716666666666665,187.0,182.0,-5.0
3,2.0,0.35,3.0,L=3|m=2.0|d=0.35|c=3.0,2572,719.9,691.65,-28.25,86.00666666666666,84.89,-1.11666666666666,4020.0,3930.0,-90.0,0.0,23.996666666666663,23.055,-0.9416666666666668,134.0,131.0,-3.0
3,2.0,0.35,5.0,L=3|m=2.0|d=0.35|c=5.0,2585,494.55,470.15,-24.400000000000038,103.03,101.65666666666668,-1.3733333333333348,4080.0,3990.0,-90.0,0.0,16.485,15.671666666666663,-0.8133333333333345,136.0,133.0,-3.0
3,2.0,0.35,10.0,L=3|m=2.0|d=0.35|c=10.0,2598,571.4,538.2,-33.19999999999993,135.90666666666667,135.11999999999998,-0.7866666666666902,5220.0,5130.0,-90.0,0.0,19.046666666666667,17.94,-1.1066666666666645,174.0,171.0,-3.0
3,2.0,0.35,20.0,L=3|m=2.0|d=0.35|c=20.0,2611,279.25,307.3,28.05000000000001,150.38333333333335,151.51333333333335,1.1299999999999957,5070.0,5160.0,90.0,0.0,9.308333333333334,10.243333333333334,0.9350000000000004,169.0,172.0,3.0
3,2.0,0.35,50.0,L=3|m=2.0|d=0.35|c=50.0,2624,309.45,382.85,73.40000000000003,170.37,170.47666666666666,0.1066666666666549,5730.0,5880.0,150.0,0.0,10.315,12.761666666666668,2.446666666666668,191.0,196.0,5.0
3,2.0,0.35,100.0,L=3|m=2.0|d=0.35|c=100.0,2637,206.15,137.15,-69.0,177.25666666666666,175.25666666666663,-2.0000000000000284,5730.0,5610.0,-120.0,0.0116502342152386,6.871666666666667,4.571666666666667,-2.3,191.0,187.0,-4.0
3,2.0,0.5,3.0,L=3|m=2.0|d=0.5|c=3.0,2650,497.45,339.25,-158.2,69.83666666666667,62.383333333333326,-7.453333333333347,3090.0,5010.0,1920.0,0.4910265550546419,16.581666666666667,11.308333333333334,-5.2733333333333325,103.0,167.0,64.0
3,2.0,0.5,5.0,L=3|m=2.0|d=0.5|c=5.0,2663,368.35,333.45,-34.900000000000034,89.44333333333334,87.77000000000001,-1.673333333333332,3420.0,6030.0,2610.0,0.4569050840847538,12.278333333333334,11.115,-1.1633333333333344,114.0,201.0,87.0
3,2.0,0.5,10.0,L=3|m=2.0|d=0.5|c=10.0,2676,426.15,497.55,71.40000000000003,124.59,133.82999999999998,9.23999999999998,4590.0,8610.0,4020.0,0.4197304435339852,14.205,16.585,2.380000000000001,153.0,287.0,134.0
3,2.0,0.5,20.0,L=3|m=2.0|d=0.5|c=20.0,2689,349.55,298.45,-51.10000000000002,156.69666666666666,155.10333333333332,-1.5933333333333335,5400.0,9360.0,3960.0,0.4418149869941746,11.651666666666667,9.948333333333332,-1.703333333333334,180.0,312.0,132.0
3,2.0,0.5,50.0,L=3|m=2.0|d=0.5|c=50.0,2702,247.65,200.95,-46.70000000000002,170.48999999999998,169.60333333333335,-0.8866666666666276,5610.0,9540.0,3930.0,0.4246561712693379,8.255,6.698333333333333,-1.5566666666666673,187.0,318.0,131.0
3,2.0,0.7,3.0,L=3|m=2.0|d=0.7|c=3.0,2728,567.6,125.8,-441.8,83.16,194.0133333333333,110.85333333333328,3630.0,12570.0,8940.0,0.8634366267581806,18.92,4.193333333333333,-14.726666666666668,121.0,419.0,298.0
3,2.0,0.5,100.0,L=3|m=2.0|d=0.5|c=100.0,2715,100.0,97.6,-2.4000000000000057,173.33333333333334,173.49333333333334,0.1599999999999966,5400.0,7320.0,1920.0,0.2638455868275698,3.333333333333333,3.253333333333333,-0.0800000000000002,180.0,244.0,64.0
3,2.0,0.7,5.0,L=3|m=2.0|d=0.7|c=5.0,2741,701.9,174.3,-527.5999999999999,112.20666666666668,210.98000000000008,98.7733333333334,4770.0,12510.0,7740.0,0.7793493416682148,23.396666666666665,5.8100000000000005,-17.586666666666662,159.0,417.0,258.0
3,2.0,0.7,10.0,L=3|m=2.0|d=0.7|c=10.0,2754,468.05,145.0,-323.05,133.79666666666668,232.13333333333344,98.33666666666676,4950.0,12600.0,7650.0,0.7077861637272086,15.601666666666668,4.833333333333333,-10.768333333333334,165.0,420.0,255.0
3,2.0,0.7,20.0,L=3|m=2.0|d=0.7|c=20.0,2767,274.45,110.35,-164.1,147.70333333333332,245.24333333333345,97.5400000000001,4980.0,12600.0,7620.0,0.6645326308419662,9.148333333333332,3.678333333333333,-5.47,166.0,420.0,254.0
3,2.0,0.7,50.0,L=3|m=2.0|d=0.7|c=50.0,2780,287.4,110.7,-176.7,168.84,263.22000000000014,94.38000000000014,5640.0,12600.0,6960.0,0.5934886978086096,9.58,3.69,-5.89,188.0,420.0,232.0
3,2.0,0.7,100.0,L=3|m=2.0|d=0.7|c=100.0,2793,116.7,47.65,-69.05000000000001,175.22,268.62333333333345,93.40333333333344,5490.0,12600.0,7110.0,0.5888807671807645,3.89,1.5883333333333334,-2.301666666666667,183.0,420.0,237.0
3,2.5,0.15,3.0,L=3|m=2.5|d=0.15|c=3.0,2806,653.75,529.3,-124.45000000000005,139.02083333333337,131.39166666666665,-7.62916666666672,3870.0,3510.0,-360.0,0.0,21.791666666666668,17.64333333333333,-4.148333333333335,129.0,117.0,-12.0
3,2.5,0.15,5.0,L=3|m=2.5|d=0.15|c=5.0,2819,940.2,838.3,-101.90000000000008,187.15,182.14166666666668,-5.008333333333326,5310.0,5040.0,-270.0,0.0,31.34,27.94333333333333,-3.3966666666666696,177.0,168.0,-9.0
